id_instancia,ROOT,progress_bar_activo,puerto_debug,puerto_base,puerto_base_drp,ip_red_equipos,ip_red_admin,puerto_rx_notificaciones,puerto_tx_comandos,tabla_bitacora,tipo_equipos,filtrar_duplicados,usar_kafka,geo_referenciar_notificaciones,geo_referenciar_trayectos,geo_referenciar_robos,num_conexiones_cache,usar_metodos_p,periodo_salidasgsm,filtrar_mobil_eye,puerto_nagios,puerto_ejercitador,tipo_instancia,nombre_corto,nombre_instancia,canales,usar_manejador_beacontrack
SUNTECH-PRUEBAS-560,/siscom,no,8899,56000,56000,192.168.2.59,10.190.5.51,5521,9000,RXSUNTEC,SUNTECH,no,no,si,si,si,3,no,600,no,8561,7902,prod,PBA-SUN-560,Servidor de pruebas de comunicaciones Suntech 560xx,"'OTA-Suntech-TC01', 'ST340RA-TC-01', 'ST340RA-MS-01'",si
SUNTECH-PRUEBAS-561,/siscom,no,8877,56100,56010,192.168.2.59,10.190.5.51,5626,9002,RXSUNTEC,SUNTECH,no,no,si,si,si,3,no,600,no,56180,7904,pbas,PBA-SUN-561,Servidor de pruebas de comunicaciones Suntech 561xx,"'ST215-MS3-02','ST215-MS3-03','ST215-TC-02','ST215-TC-03'",si
QUECLINK-PRUEBAS-550,/siscom,no,8888,55000,55000,192.168.2.59,10.190.5.51,5050,5050,RXQUECLINK,QUECLINK,no,no,si,si,si,3,no,600,no,8550,7906,pbas,PBA-QUECLINK,Servidor de pruebas de comunicaciones Queclink,"'GV300-TC-01','GV300-MS3-01','GV300-MS3-02','GV300-TC-02'",si
CMIA-SKY-SUN-OP2,/siscom,no,8802,56000,56000,10.190.6.165,10.190.6.165,5020,9000,RXSUNTEC,SUNTECH,no,si,no,si,si,7,no,600,no,8002,7002,prod,OP2,Op:2 MAQ:1A BD:MIA SUNTECH ST2xx CANALES: ST210-TC-01 ST240-TC-01 ST240-MS1-01 ST215-TC-05 ST215-MS3-05,"'ST210-TC-01','ST240-TC-01','ST240-MS1-01','ST215-TC-05','ST215-MS3-05'",si
CMIA-SKY-SUN-OP4,/siscom,no,8804,56100,56050,10.190.6.165,10.190.6.165,5021,9002,RXSUNTEC,SUNTECH,no,si,no,si,si,7,no,600,no,8004,7004,prod,OP4,Op:4 MAQ:1A BD:MIA SUNTECH ST2xx CANALES: ST210-MS-01 ST210-TC-02 ST215-TC-06 ST215-MS3-06 ST215-TC-07 ST215-MS-07 ST240-TC-02 ST240-MS-02,"'ST210-MS-01','ST210-TC-02','ST215-TC-06','ST215-MS3-06','ST215-TC-07','ST215-MS-07','ST240-TC-02','ST240-MS-02'",si
CMIA-SKY-SUN-OP6,/siscom,no,8806,56000,56100,10.190.6.164,10.190.6.164,5022,9003,RXSUNTEC,SUNTECH,no,si,no,si,si,7,no,600,no,8006,7006,prod,OP6,Op:6 MAQ:1A BD:MIA SUNTECH ST2xx CANALES: ST210-TC-03 ST215-TC-08 ST215-MS-08 ST240-TC-03 ST240-MS-03,"'ST210-TC-03','ST215-TC-08','ST215-MS-08','ST240-TC-03','ST240-MS-03'",si
CMIA-SKY-SUN-OP8,/siscom,no,8808,56100,56150,10.190.6.164,10.190.6.164,5025,9006,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8008,7008,prod,OP8,Op:8 MAQ:2A BD:MIA SUNTECH ST2xx CANALES: ST210-MS3-02 ST210-TC-04 ST215-TC-01 ST215-MS3-01 ,"'ST210-MS3-02','ST210-TC-04','ST215-TC-01','ST215-MS3-01'",si
CMIA-SKY-SUN-OP10,/siscom,no,8810,56200,56200,10.190.6.164,10.190.6.164,5026,9008,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8010,7010,prod,OP10,Op:10 MAQ:2A BD:MIA SUNTECH ST2xx CANALES: ST215-TC-02 ST215-MS3-02 ST215-TC-03 ST215-MS3-03,"'ST215-TC-02','ST215-MS3-02','ST215-TC-03','ST215-MS3-03'",si
CMIA-SKY-SUN-OP12,/siscom,no,8812,56100,56250,10.190.6.163,10.190.6.163,5027,9010,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8012,7012,prod,OP12,Op:12 MAQ:2A BD:MIA SUNTECH ST2xx CANALES:  ST215-MS3-04 ST215-TC-04,"'ST215-MS3-04','ST215-TC-04'",si
CMIA-SKY-SUN-OP1,/siscom,no,8801,56000,56300,10.190.6.163,10.190.6.163,5040,9040,RXSUNTEC,SUNTECH,no,si,no,si,si,3,no,600,no,8001,7001,prod,OP1,Op:1 MAQ:2A BD:MCM SUNTECH ST230 CANALES: ST230-MS3-01 ST230-TC-01 ST230E-TC-01 ST230-MS3-02 ST230-TC-02 ST330i-TC-01 ST330i-MS-01 ST330e-TC-01 ST330e-MS-01 ST330e-TC-02 ST330e-MS-02,"'ST230-MS3-01','ST230-TC-01','ST230E-TC-01','ST230-MS3-02','ST230-TC-02','ST330i-TC-01','ST330i-MS-01','ST330e-TC-01','ST330e-MS-01','ST330e-TC-02','ST330e-MS-02'",si
CMIA-SKY-SUN-OP14,/siscom,no,8814,56200,56350,10.190.6.163,10.190.6.163,5023,9004,RXSUNTEC,SUNTECH,no,si,no,si,si,4,no,600,no,8014,7014,prod,OP14,Op:14 MAQ:2A BD:MIA SUNTECH ST340 CANALES: ST340-TC-01 ST340-MS-01,"'ST340-TC-01','ST340-MS-01'",si
CMIA-SKY-SUN-OP16,/siscom,no,8816,56200,56400,10.190.6.165,10.190.6.165,5029,9014,RXSUNTEC,SUNTECH,no,si,no,si,si,4,no,600,no,8016,7016,prod,OP16,Op:16 MAQ:2A BD:MIA SUNTECH CANALES: ST215-TC-09 ST215-MS-01 ST240-TC-04 ST240-MS-04 ST340-TC-02 ST340-MS-02,"'ST215-TC-09','ST215-MS-01','ST240-TC-04','ST240-MS-04','ST340-TC-02','ST340-MS-02'",si
CMIA-SKY-SUN-OP18,/siscom,no,8818,56000,56450,10.190.6.166,10.190.6.166,5022,9002,RXSUNTEC,SUNTECH,no,si,si,si,si,3,no,600,si,8018,7018,prod,OP18,Op:18 MAQ:LNX.42 BD:MIA SUNTECH ST300 CANALES: ST300RI-TC-01 ST300RI-MS-01,"'ST300RI-TC-01','ST300RI-MS-01'",si
CMIA-SKY-SUN-OP20,/siscom,no,8820,56100,56500,10.190.6.166,10.190.6.166,5024,9004,RXSUNTEC,SUNTECH,no,si,si,si,si,3,si,600,no,8020,7020,prod,OP20,Op:20 MAQ:LNX.42 BD:MIA SUNTECH ST340 CANALES: FLOTCON-TC-01 FLOTCON-MS-01,"'FLOTCON-TC-01','FLOTCON-MS-01'",si
CMIA-SKY-SUN-OP22,/siscom,no,8822,56200,56550,10.190.6.166,10.190.6.166,5026,9006,RXSUNTEC,SUNTECH,no,si,no,si,si,3,si,600,no,8022,7022,prod,OP22,Op:22 MAQ:LNX.42 BD:MIA SUNTECH ST340 CANALES: ST340-TC-03 ST340-MS-03,"'ST340-TC-03','ST340-MS-03'",si
